CampaignChannelID,ChannelID,CampaignName
CC00001,CHAN007,Versatile fault-tolerant neural-net
CC00002,CHAN020,Cloned holistic website
CC00003,CHAN015,Multi-layered radical leverage
CC00004,CHAN011,Integrated object-oriented challenge
CC00005,CHAN008,Ergonomic object-oriented framework
CC00006,CHAN007,Face-to-face modular function
CC00007,CHAN019,Expanded grid-enabled algorithm
CC00008,CHAN011,Exclusive empowering portal
CC00009,CHAN011,Versatile tangible analyzer
CC00010,CHAN004,Integrated scalable definition
CC00011,CHAN008,Persistent intermediate support
CC00012,CHAN003,Ergonomic bi-directional frame
CC00013,CHAN002,Stand-alone multi-state toolset
CC00014,CHAN012,Switchable value-added service-desk
CC00015,CHAN006,Assimilated encompassing capacity
CC00016,CHAN002,Triple-buffered disintermediate application
CC00017,CHAN001,Inverse leadingedge orchestration
CC00018,CHAN012,Multi-layered client-driven functionalities
CC00019,CHAN012,Synchronized next generation system engine
CC00020,CHAN017,Persistent responsive moderator
CC00021,CHAN010,Phased methodical ability
CC00022,CHAN016,Synergized eco-centric infrastructure
CC00023,CHAN015,Integrated human-resource orchestration
CC00024,CHAN015,Face-to-face context-sensitive collaboration
CC00025,CHAN019,Re-contextualized even-keeled policy
CC00026,CHAN012,Object-based motivating portal
CC00027,CHAN020,Down-sized web-enabled adapter
CC00028,CHAN003,Integrated zero-defect function
CC00029,CHAN005,Pre-emptive composite superstructure
CC00030,CHAN019,Multi-tiered bifurcated adapter
CC00031,CHAN007,Team-oriented contextually-based frame
CC00032,CHAN009,Inverse user-facing architecture
CC00033,CHAN007,Distributed systemic pricing structure
CC00034,CHAN018,Team-oriented optimizing open architecture
CC00035,CHAN004,Switchable clear-thinking functionalities
CC00036,CHAN014,Right-sized systemic knowledge user
CC00037,CHAN018,Intuitive grid-enabled function
CC00038,CHAN009,Diverse methodical software
CC00039,CHAN002,Realigned optimizing paradigm
CC00040,CHAN020,Self-enabling systematic extranet
CC00041,CHAN015,Balanced logistical toolset
CC00042,CHAN007,Reactive incremental encryption
CC00043,CHAN012,Distributed scalable leverage
CC00044,CHAN008,Reverse-engineered contextually-based archive
CC00045,CHAN015,Customizable 24/7 algorithm
CC00046,CHAN003,Pre-emptive real-time superstructure
CC00047,CHAN014,Persevering actuating project
CC00048,CHAN017,Enhanced intangible product
CC00049,CHAN004,Proactive executive conglomeration
CC00050,CHAN018,Enhanced fresh-thinking portal
CC00051,CHAN008,Secured intermediate concept
CC00052,CHAN004,Function-based 6thgeneration info-mediaries
CC00053,CHAN002,Progressive holistic encoding
CC00054,CHAN006,Automated hybrid core
CC00055,CHAN010,Ergonomic multi-tasking throughput
CC00056,CHAN004,Expanded impactful array
CC00057,CHAN018,User-centric real-time service-desk
CC00058,CHAN012,Robust asymmetric policy
CC00059,CHAN002,Programmable radical workforce
CC00060,CHAN010,Assimilated static architecture
CC00061,CHAN004,Synergistic tertiary array
CC00062,CHAN014,Front-line impactful Graphical User Interface
CC00063,CHAN016,Optimized logistical success
CC00064,CHAN015,Centralized local budgetary management
CC00065,CHAN008,Distributed demand-driven knowledge user
CC00066,CHAN014,Virtual real-time middleware
CC00067,CHAN008,Reduced bandwidth-monitored definition
CC00068,CHAN016,Extended intermediate matrices
CC00069,CHAN013,Organic background function
CC00070,CHAN018,Sharable homogeneous matrix
CC00071,CHAN015,Customer-focused systemic orchestration
CC00072,CHAN013,Vision-oriented context-sensitive attitude
CC00073,CHAN009,Digitized systematic utilization
CC00074,CHAN015,Reduced dynamic ability
CC00075,CHAN013,Re-engineered zero tolerance analyzer
CC00076,CHAN001,Inverse actuating database
CC00077,CHAN007,Diverse real-time moderator
CC00078,CHAN009,Synergistic high-level Local Area Network
CC00079,CHAN001,Reverse-engineered heuristic circuit
CC00080,CHAN012,Digitized mobile time-frame
CC00081,CHAN008,Multi-tiered global benchmark
CC00082,CHAN011,Pre-emptive optimal extranet
CC00083,CHAN019,Sharable asymmetric implementation
CC00084,CHAN017,Streamlined human-resource hardware
CC00085,CHAN008,Managed optimal strategy
CC00086,CHAN003,De-engineered 24/7 leverage
CC00087,CHAN003,Synchronized heuristic database
CC00088,CHAN001,Team-oriented optimal hub
CC00089,CHAN005,Streamlined cohesive solution
CC00090,CHAN010,Synergistic optimal help-desk
CC00091,CHAN007,Self-enabling asymmetric forecast
CC00092,CHAN009,Right-sized reciprocal framework
CC00093,CHAN007,Proactive value-added website
CC00094,CHAN009,Up-sized client-driven infrastructure
CC00095,CHAN008,Up-sized content-based infrastructure
CC00096,CHAN012,Cross-platform multimedia pricing structure
CC00097,CHAN002,Cross-platform eco-centric hardware
CC00098,CHAN001,Centralized 24/7 software
CC00099,CHAN016,Upgradable holistic focus group
CC00100,CHAN005,Diverse radical workforce
CC00101,CHAN003,Optimized mission-critical database
CC00102,CHAN012,Enhanced object-oriented artificial intelligence
CC00103,CHAN008,Operative heuristic benchmark
CC00104,CHAN003,Organic grid-enabled artificial intelligence
CC00105,CHAN001,Universal leadingedge product
CC00106,CHAN003,Inverse background benchmark
CC00107,CHAN005,Re-contextualized uniform concept
CC00108,CHAN015,Multi-tiered optimal attitude
CC00109,CHAN014,Ergonomic bifurcated functionalities
CC00110,CHAN003,Operative foreground parallelism
CC00111,CHAN001,Synergistic static collaboration
CC00112,CHAN005,Operative analyzing circuit
CC00113,CHAN014,Adaptive eco-centric attitude
CC00114,CHAN007,Implemented upward-trending product
CC00115,CHAN009,Public-key intangible circuit
CC00116,CHAN015,Reduced regional benchmark
CC00117,CHAN015,Total disintermediate budgetary management
CC00118,CHAN010,Upgradable upward-trending flexibility
CC00119,CHAN013,Future-proofed incremental methodology
CC00120,CHAN019,Visionary context-sensitive structure
CC00121,CHAN007,Monitored object-oriented matrices
CC00122,CHAN017,Reduced grid-enabled secured line
CC00123,CHAN020,Down-sized multi-tasking ability
CC00124,CHAN004,Re-contextualized optimizing contingency
CC00125,CHAN005,Enterprise-wide optimizing interface
CC00126,CHAN007,Progressive radical Local Area Network
CC00127,CHAN013,User-friendly zero tolerance knowledgebase
CC00128,CHAN015,Vision-oriented analyzing framework
CC00129,CHAN011,Reverse-engineered content-based paradigm
CC00130,CHAN004,Fundamental regional model
CC00131,CHAN013,Cloned logistical monitoring
CC00132,CHAN007,Managed optimal circuit
CC00133,CHAN019,Stand-alone bi-directional process improvement
CC00134,CHAN002,Configurable systematic emulation
CC00135,CHAN010,Open-source national success
CC00136,CHAN013,Adaptive zero-defect extranet
CC00137,CHAN006,Team-oriented coherent methodology
CC00138,CHAN012,Re-contextualized optimizing moratorium
CC00139,CHAN012,Realigned static strategy
CC00140,CHAN020,Cross-group bandwidth-monitored Graphic Interface
CC00141,CHAN011,Enhanced human-resource service-desk
CC00142,CHAN007,Triple-buffered multimedia array
CC00143,CHAN001,Exclusive asymmetric projection
CC00144,CHAN001,Devolved multimedia focus group
CC00145,CHAN020,Organic analyzing archive
CC00146,CHAN013,Persistent empowering hardware
CC00147,CHAN009,Realigned 4thgeneration leverage
CC00148,CHAN003,Exclusive next generation service-desk
CC00149,CHAN007,Universal mobile toolset
CC00150,CHAN006,Cloned human-resource superstructure
CC00151,CHAN008,Monitored bi-directional extranet
CC00152,CHAN009,Reduced zero administration knowledge user
CC00153,CHAN005,De-engineered analyzing frame
CC00154,CHAN001,Enterprise-wide cohesive solution
CC00155,CHAN019,Enhanced fault-tolerant collaboration
CC00156,CHAN010,Inverse bandwidth-monitored framework
CC00157,CHAN012,Programmable radical circuit
CC00158,CHAN015,Optional even-keeled encryption
CC00159,CHAN009,Implemented grid-enabled workforce
CC00160,CHAN020,Self-enabling bottom-line project
CC00161,CHAN017,Managed bottom-line capacity
CC00162,CHAN017,Reactive tertiary matrix
CC00163,CHAN020,Organized asynchronous synergy
CC00164,CHAN012,Phased radical methodology
CC00165,CHAN007,Robust zero tolerance function
CC00166,CHAN002,Polarized heuristic system engine
CC00167,CHAN003,Profound responsive conglomeration
CC00168,CHAN017,Balanced coherent frame
CC00169,CHAN005,Fully-configurable zero tolerance open system
CC00170,CHAN017,Cross-group coherent collaboration
CC00171,CHAN017,Reactive secondary forecast
CC00172,CHAN017,Synergistic eco-centric matrix
CC00173,CHAN002,Ameliorated contextually-based moratorium
CC00174,CHAN002,De-engineered demand-driven Graphic Interface
CC00175,CHAN005,Total bifurcated throughput
CC00176,CHAN001,Phased static contingency
CC00177,CHAN001,Intuitive content-based attitude
CC00178,CHAN019,Cloned upward-trending monitoring
CC00179,CHAN002,Open-source composite projection
CC00180,CHAN012,Vision-oriented multi-tasking circuit
CC00181,CHAN006,Reactive directional time-frame
CC00182,CHAN004,Persevering discrete challenge
CC00183,CHAN011,Focused radical matrix
CC00184,CHAN017,Decentralized fault-tolerant archive
CC00185,CHAN006,De-engineered clear-thinking forecast
CC00186,CHAN005,Stand-alone directional database
CC00187,CHAN020,Inverse encompassing frame
CC00188,CHAN002,Exclusive needs-based instruction set
